,bel20
2000-01-03,3311.05
2000-01-04,3188.09
2000-01-05,3057.53
2000-01-06,3061.09
2000-01-07,3138.55
2000-01-10,3203.75
2000-01-11,3148.9
2000-01-12,3110.25
2000-01-13,3133.58
2000-01-14,3128.5
2000-01-17,3074.18
2000-01-18,2972.1
2000-01-19,2977.53
2000-01-20,2971.57
2000-01-21,2930.97
2000-01-24,2925.35
2000-01-25,2857.82
2000-01-26,2878.83
2000-01-27,2891.47
2000-01-28,2884.6
2000-01-31,2806.29
2000-02-01,2786.03
2000-02-02,2789.58
2000-02-03,2888.4
2000-02-04,2924.13
2000-02-07,2891.62
2000-02-08,2910.99
2000-02-09,2815.06
2000-02-10,2741.63
2000-02-11,2769.49
2000-02-14,2839.91
2000-02-15,2832.35
2000-02-16,2830.28
2000-02-17,2820.69
2000-02-18,2800.1
2000-02-21,2780.48
2000-02-22,2721.34
2000-02-23,2730.0
2000-02-24,2765.79
2000-02-25,2761.46
2000-02-28,2727.49
2000-02-29,2746.08
2000-03-01,2756.03
2000-03-02,2756.07
2000-03-03,2746.84
2000-03-06,2733.43
2000-03-07,2698.78
2000-03-08,2690.06
2000-03-09,2655.65
2000-03-10,2594.07
2000-03-13,2532.24
2000-03-14,2579.05
2000-03-15,2721.82
2000-03-16,2906.66
2000-03-17,2835.08
2000-03-20,2852.02
2000-03-21,2800.39
2000-03-22,2891.0
2000-03-23,2907.93
2000-03-24,2919.33
2000-03-27,2821.42
2000-03-28,2851.84
2000-03-29,2826.82
2000-03-30,2778.29
2000-03-31,2777.84
2000-04-03,2824.12
2000-04-04,2900.06
2000-04-05,2885.79
2000-04-06,2898.22
2000-04-07,2868.17
2000-04-10,2861.37
2000-04-11,2913.37
2000-04-12,2970.73
2000-04-13,2994.05
2000-04-14,2951.14
2000-04-17,2897.1
2000-04-18,2934.8
2000-04-19,2881.72
2000-04-20,2843.73
2000-04-25,2830.36
2000-04-26,2871.4
2000-04-27,2825.21
2000-04-28,2813.28
2000-05-02,2835.53
2000-05-03,2837.84
2000-05-04,2834.13
2000-05-05,2822.48
2000-05-08,2816.45
2000-05-09,2840.12
2000-05-10,2827.87
2000-05-11,2832.96
2000-05-12,2840.57
2000-05-15,2872.77
2000-05-16,2898.5
2000-05-17,2901.48
2000-05-18,2916.07
2000-05-19,2885.8
2000-05-22,2885.89
2000-05-23,2898.76
2000-05-24,2900.92
2000-05-25,2909.34
2000-05-26,2841.87
2000-05-29,2860.72
2000-05-30,2884.46
2000-05-31,2849.43
2000-06-02,2895.37
2000-06-05,2891.73
2000-06-06,2898.45
2000-06-07,2898.75
2000-06-08,2857.34
2000-06-09,2880.24
2000-06-13,2914.72
2000-06-14,2886.5
2000-06-15,2906.34
2000-06-16,2922.5
2000-06-19,2895.31
2000-06-20,2900.04
2000-06-21,2899.12
2000-06-22,2909.9
2000-06-23,2891.01
2000-06-26,2890.43
2000-06-27,2910.33
2000-06-28,2908.08
2000-06-29,2903.58
2000-06-30,2953.28
2000-07-03,2954.64
2000-07-04,2955.46
2000-07-05,2967.86
2000-07-06,2953.06
2000-07-07,2977.72
2000-07-10,2996.43
2000-07-11,3016.93
2000-07-12,3030.84
2000-07-13,3027.36
2000-07-14,3013.9
2000-07-17,3021.05
2000-07-18,3014.61
2000-07-19,3000.64
2000-07-20,3024.89
2000-07-24,3031.56
2000-07-25,3039.62
2000-07-26,3037.16
2000-07-27,3059.78
2000-07-28,3060.17
2000-07-31,3068.61
2000-08-01,3050.49
2000-08-02,3054.93
2000-08-03,3045.17
