Attributes,close,close,close,close,close,close,high,high,high,high,high,high,low,low,low,low,low,low,open,open,open,open,open,open,volume,volume,volume,volume,volume,volume
Symbols,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax,bel20,aex,cac,omxs,smi,dax
2000-01-03,3311.05,675.44,5917.37,1211.79,,6750.76,3418.79,686.33,6102.12,1211.79,,7159.33,3311.05,675.44,5901.77,1211.79,,6720.87,3387.87,677.15,6024.38,1211.79,,6961.72,,,,,,
2000-01-04,3188.09,642.25,5672.02,1182.03,7268.1,6586.95,3281.5,664.2,5925.07,1182.03,7485.4,6755.36,3157.48,639.35,5657.2,1182.03,7266.7,6510.46,3260.36,664.2,5922.23,1182.03,7484.8,6747.24,,,,,,
2000-01-05,3057.53,632.31,5479.7,1131.3,7181.3,6502.07,3135.73,640.06,5589.5,1131.3,7265.5,6585.85,3051.57,621.26,5461.59,1131.3,7114.1,6388.91,3109.11,625.49,5521.83,1131.3,7153.1,6585.85,,,,,,
2000-01-06,3061.09,624.21,5450.11,,7280.6,6474.92,3097.31,638.77,5530.26,,7301.9,6539.31,3032.09,620.22,5388.85,,7174.7,6402.63,3097.27,631.71,5485.93,,7177.2,6501.45,,,,,,
2000-01-07,3138.55,644.86,5539.61,1152.54,7448.0,6780.96,3139.26,646.04,5561.69,1152.54,7448.0,6791.53,3098.59,628.44,5423.88,1152.54,7338.1,6470.14,3110.47,628.51,5423.88,1152.54,7338.7,6489.94,,,,,,
2000-01-10,3203.75,655.14,5646.12,1184.77,7452.8,6925.52,3212.98,659.87,5717.44,1184.77,7544.0,6975.26,3173.14,651.82,5616.98,1184.77,7447.3,6785.47,3183.33,652.82,5625.82,1184.77,7518.7,6785.47,,,,,,
2000-01-11,3148.9,648.94,5613.9,1190.34,7420.1,6891.25,3207.37,657.2,5726.51,1190.34,7477.2,6943.83,3138.75,645.43,5571.99,1190.34,7380.9,6821.26,3207.0,657.2,5726.51,1190.34,7440.8,6926.04,,,,,,
2000-01-12,3110.25,638.4,5582.5,1190.15,7440.2,6912.81,3131.5,643.43,5628.73,1190.15,7450.9,6913.5,3099.27,636.15,5536.5,1190.15,7345.9,6783.22,3116.19,640.61,5541.23,1190.15,7374.3,6878.92,,,,,,
2000-01-13,3133.58,642.21,5633.24,1195.48,7436.9,6955.98,3140.08,648.91,5682.27,1195.48,7487.6,7106.45,3113.27,639.6,5579.49,1195.48,7417.5,6898.69,3139.03,643.88,5586.25,1195.48,7451.8,6913.13,,,,,,
2000-01-14,3128.5,655.6,5787.44,1217.95,7513.9,7173.22,3164.64,656.75,5804.16,1217.95,7525.5,7207.45,3107.54,646.24,5664.71,1217.95,7471.7,6960.29,3128.26,648.15,5669.14,1217.95,7483.7,6960.29,,,,,,
2000-01-17,3074.18,661.51,5842.78,1245.69,7507.0,7258.9,3137.93,664.85,5857.36,1245.69,7543.5,7297.04,3072.29,651.98,5740.19,1245.69,7493.9,7112.97,3136.2,662.54,5834.75,1245.69,7536.2,7177.48,,,,,,
2000-01-18,2972.1,647.72,5672.95,1215.4,7404.8,7072.12,3062.75,663.9,5859.44,1215.4,7523.4,7306.48,2949.86,645.22,5670.27,1215.4,7402.7,7053.86,3051.26,662.37,5859.44,1215.4,7510.9,7262.21,,,,,,
2000-01-19,2977.53,642.59,5649.46,1213.77,7336.8,7091.04,2988.75,644.54,5668.06,1213.77,7387.6,7110.19,2949.07,635.65,5590.19,1213.77,7326.7,6987.12,2949.07,642.89,5664.92,1213.77,7385.9,7065.31,,,,,,
2000-01-20,2971.57,644.79,5709.74,1217.73,7251.2,7112.66,3015.99,649.93,5727.82,1217.73,7376.8,7230.75,2963.78,642.99,5660.25,1217.73,7248.9,7076.81,2995.37,646.08,5713.04,1217.73,7372.5,7095.98,,,,,,
2000-01-21,2930.97,641.47,5681.32,1218.19,7236.0,6992.75,2974.72,643.96,5738.16,1218.19,7304.5,7103.7,2927.77,636.38,5630.63,1218.19,7179.4,6939.94,2973.97,637.9,5656.1,1218.19,7180.7,7103.7,,,,,,
2000-01-24,2925.35,645.53,5690.86,1229.51,7127.9,6931.99,2974.83,654.15,5777.68,1229.51,7273.0,7092.5,2924.14,644.28,5680.6,1229.51,7127.9,6921.97,2960.31,645.65,5687.36,1229.51,7260.0,6987.59,,,,,,
